train_number,section_id,arrival_time,departure_time,days_of_week,train_type
12301,SEC-HWH-ASN,06:00,06:45,"MON,TUE,WED,THU,FRI,SAT,SUN",passenger
12951,SEC-NDLS-CNB,16:30,17:15,"MON,TUE,WED,THU,FRI,SAT,SUN",passenger
22436,SEC-NDLS-CNB,06:00,06:40,"MON,TUE,WED,THU,FRI,SUN",passenger
12123,SEC-BCT-PUNE,07:15,08:00,"MON,TUE,WED,THU,FRI,SAT,SUN",passenger
12639,SEC-SBC-MAS,06:00,06:50,"MON,TUE,WED,THU,FRI,SAT,SUN",passenger
12065,SEC-SBC-MYS,08:00,08:50,"MON,TUE,WED,THU,FRI,SAT,SUN",passenger
12109,SEC-CSMT-IGP,06:15,07:30,"MON,TUE,WED,THU,FRI,SAT,SUN",passenger
12381,SEC-ALD-DDU,14:00,15:00,"MON,TUE,WED,THU,FRI,SAT,SUN",passenger
58001,SEC-HWH-ASN,10:00,11:30,"MON,WED,FRI",freight
58002,SEC-NDLS-CNB,02:00,04:00,"MON,TUE,WED,THU,FRI,SAT,SUN",freight
58003,SEC-CNB-PRYJ,03:00,05:00,"MON,TUE,WED,THU,FRI,SAT,SUN",freight
58004,SEC-BCT-PUNE,01:30,03:30,"TUE,THU,SAT",freight
58005,SEC-SBC-MYS,02:00,04:00,"MON,WED,FRI",freight
